uberColorU uberColorG uberColorR uberColorI
1.308599 0.6389828 0.3214264 0.2364655
1.794962 0.9615726 0.5141373 0.3069057
0.8901863 0.2029457 0.2391911 0.06588173
1.754187 0.8485527 0.3606586 0.3126011
1.356571 0.6378174 0.3884373 0.2868614
1.115413 0.5289392 0.2708235 0.2294254
1.929764 0.8547878 0.3822899 0.3486595
1.517569 1.138632 0.4944096 0.4230022
1.703238 1.030449 0.412077 0.3678417
1.340311 0.6457062 0.3387604 0.1928749
2.443689 1.113007 0.4415207 0.3368149
1.802559 1.26836 0.4795799 0.3569851
1.703541 0.8335676 0.3779869 0.3121662
1.453754 0.7094355 0.3677616 0.3032246
1.942841 0.8504524 0.4096069 0.3278627
2.00873 1.089701 0.4631138 0.3520927
1.446384 0.7882729 0.4024515 0.2607365
1.143307 0.5111446 0.2762814 0.2357044
2.268661 1.08209 0.4684753 0.4134254
2.195278 1.028627 0.4572449 0.3667583
1.671524 0.8725624 0.376585 0.3293018
1.208 0.6012192 0.3419724 0.2471466
1.665501 0.9509525 0.4267139 0.3433542
1.099812 0.6124516 0.3770771 0.1879749
1.785734 0.8363724 0.3649139 0.2925167
1.217085 0.4488125 0.2728252 0.1639233
1.367422 0.8730087 0.3951321 0.312645
1.383244 0.7232876 0.4057865 0.2776976
1.93239 0.8672752 0.3947697 0.3205976
1.836418 0.8591385 0.3634701 0.308815
1.842901 1.33202 0.5074673 0.3203869
1.369963 0.7391777 0.2886944 0.2830315
1.385355 0.7209835 0.4249706 0.2784424
1.193872 0.7838097 0.3576012 0.2861385
1.452738 0.7813683 0.4289837 0.2979927
1.799717 0.8337936 0.3880434 0.3071861
1.899673 0.939003 0.4096756 0.3532257
1.980503 1.051744 0.4435902 0.3484459
1.296795 0.4881115 0.3045578 0.08880615
1.369436 0.5137901 0.3019104 0.09561348
1.968761 1.081808 0.4617195 0.3690948
1.666077 0.8305168 0.3707333 0.2909889
1.206821 0.568552 0.3302956 0.2175522
1.917166 1.051596 0.446106 0.4048204
0.8877735 0.319025 0.1932926 0.1212444
1.928881 0.9528408 0.419754 0.380909
1.845484 1.01272 0.4483376 0.3771572
1.411194 0.6497726 0.4021225 0.4192734
