uberColorU uberColorG uberColorR uberColorI
2.026272 1.312603 0.4983654 0.3756046
1.977436 1.196577 0.4237137 0.3149128
1.124619 0.4763317 0.3009186 0.169426
1.318356 0.7178211 0.427557 0.2500324
2.058874 1.29034 0.4743767 0.320488
1.46545 0.7108097 0.3704529 0.3036585
1.727728 0.9302273 0.4138069 0.3162403
1.983973 0.9741669 0.4219112 0.3790693
1.718132 1.200895 0.4488125 0.3602676
1.160688 0.534811 0.3185272 0.2175827
1.806614 1.169376 0.4669075 0.3678741
1.133554 0.5925617 0.3420906 0.224205
1.199614 0.4187603 0.243597 -0.009260178
1.310846 0.7511559 0.3668613 0.3032684
0.992897 0.3363914 0.2518806 0.1008949
1.839966 1.020514 0.4227352 0.3341789
1.690031 0.8318691 0.4915981 0.2958698
1.156059 0.4370041 0.138792 0.09932804
1.474796 0.8831539 0.421896 0.265852
1.648634 1.138054 0.485878 0.3043728
1.027235 0.3235321 0.2276745 0.06416225
1.673351 1.054073 0.4348774 0.2486172
1.665476 0.8655376 0.4073009 0.3087902
1.629953 0.8408833 0.3609524 0.2939568
1.870565 1.154741 0.446125 0.3039398
1.624241 0.9721146 0.5230827 0.2583313
1.332611 0.570653 0.3141098 0.1837826
1.185743 0.5568237 0.3391666 0.2391243
1.384184 0.5204964 0.3123798 0.1811237
1.725296 0.8250504 0.4109669 0.294302
1.172073 0.4891777 0.2649994 0.1875973
1.204451 0.5581932 0.3524036 0.1924114
1.722685 1.047077 0.451004 0.357748
1.594454 0.7713585 0.3775997 0.2658386
1.838011 0.8999138 0.3694344 0.3430138
2.126886 0.991993 0.37714 0.3350477
1.787172 0.9483147 0.5255299 0.3477478
1.639042 0.7937641 0.4046144 0.31814
1.693419 0.7899456 0.374115 0.2264748
2.19039 1.042734 0.4460239 0.3559494
1.257803 0.5483265 0.3392315 0.1685877
1.953503 0.9167404 0.3999195 0.3127594
1.943102 1.068672 0.4534607 0.3808317
1.604954 0.8389969 0.4825916 0.4132185
1.860453 1.178301 0.4995766 0.4219627
1.639397 0.8467388 0.3764 0.2561474
1.067467 0.3190918 0.2140999 0.1279335
2.362867 1.257444 0.5035591 0.3565483
